CONGRATS!	Perfect - Ed Sheeran (Tiffany Alvord & Chester See Cover)	7uQ5A-jeMBA
OMG did you see that lizard!!	Something Just Like This - The Chainsmokers & Coldplay (Tiffany Alvord Cover)	jcjN0LsmIQc
STAYING	Stay - Zedd ft. Alessia Cara (Piano Cover) by Tiffany Alvord	blVnRNJ-Mtw
easter egg	Sign of the Times - Harry Styles (Tiffany Alvord & Future Sunsets Cover)	rPQpUwvggco
kiss a toad	Story time: MY FIRST KISS | Tiffany Alvord	1r7vMc-UtE0
blue sky	Rockabye - Clean Bandit ft. Sean Paul (Tiffany Alvord Cover) on Spotify & itunes!	MakhwpMzXw8
Call me maybe	How Would You Feel - Ed Sheeran (Tiffany Alvord & Chester See Cover)	u8EUUkmFup0
Little Piggy	Starboy (Girl Version) - The Weeknd (Tiffany Alvord Acoustic Cover)	_h6i_Wnlt9U
red balloon	Issues - Julia Michaels (Tiffany Alvord Cover)	KkbgYwNsuPA
bubble gum	Chained To The Rhythm - Katy Perry (Tiffany Alvord Cover)	E2exyLAOpF0
roses are purple	VALENTINES DAY: Expectations vs. Reality | Tiffany Alvord	msT30dW1k3Q
All Time High	All Time Low - Jon Bellion (Tiffany Alvord Cover)	YmSgPYp1N5U
tent on the hill	Castle On The Hill - Ed Sheeran (Tiffany Alvord & Jason Chen Cover) | New Ed Sheeran Song	omUvbYVDghk
mouse movie	Somewhere Out There - An American Tail (Tiffany Alvord & Peter Hollens Cover)	ypb7yZLC4dg
#Tiffanatics	My First Time | Tiffany Alvord	OFvu-OZhTrM
turtle	River - LIGHTS (Tiffany Alvord Cover)	rlLUt8SaufA
bloop	Exclusive BTS Look at the Costumes in #LaLaLand	A-6rHPx1q9Y
I can't even	Modern Day Slang CHALLENGE // MEET MY PARENTS | Tiffany Alvord Vlog	VCxyjzl0b-o
Happy B-day	Baby It's Cold Outside - Tiffany Alvord & Danny Padilla (Holiday Cover)	H0V_r8_Q_Ck
Merry Christmahanakwanzika!!	Mary Did You Know x Away In A Manger (Tiffany Alvord & Maddie Wilson Cover) #LightTheWorld	bdAbHWIEDqg
bye bye	Shout Out To My Ex - Little Mix (Tiffany Alvord Cover)	OTPtT2A9Qus
fire	Dangerously - Charlie Puth (Tiffany Alvord Live Acoustic Cover)	nJlvBtz0QMU
cat	Say You Won't Let Go - James Arthur (Tiffany Alvord Cover) (Live Acoustic)	YK5D7AC2k_k
caterpillar	Starving - Hailee Steinfeld, Grey (ft. Zedd) (Tiffany Alvord Cover)	jPK4jkbL9R0
rain rain go away	I Wish - Tiffany Alvord (Official Video) (Original)	zPdMcbnT17s
shooting star	I Wish - Tiffany Alvord (Lyric Video) (Original Song)	-2Eb3kvbFCM
hot water	Let Me Love You - DJ Snake ft. Justin Bieber (Tiffany Alvord & Francesca Cover)	Cf5V1zMbahM
mouse!	Cold Water - Major Lazer (ft. Justin Bieber & MØ) (Tiffany Alvord Cover)	wtaW0h2efIg
I will find you!	Find You - Zedd (ft. Matthew Koma & Miriam Bryant) (Tiffany Alvord Cover)	XV9exb9p-tw
i like waffles	Shake It Off - Taylor Swift (Tiffany Alvord Acoustic Cover)	gp34mkKluW8
thug	Black Widow - Iggy Azalea (Tiffany Alvord Acoustic Rap Cover)	UFvAWYiuyCY
I hope you win!	Tiffany Alvord does Gymnastics! | Rio Olympics 2016	3G2z-FA0-AQ
PUPPY	Can't Stop The Feeling - Justin Timberlake (Tiffany Alvord Cover)	m_RyxoL-Cjo
Tiffanatics 4 life	Treat You Better - Shawn Mendes \"Girl Version\" (Tiffany Alvord Cover)	X1UFeuNMDfE
Taylor's a lucky girl!	Story Time: WORST DATE EVER at Taylor Swift Concert | Tiffany | Vlog	ibCX0aD7udY
I like ducks	Keep Steppin’ - Tiffany Alvord (Original Song) - Tide	rH4HogMLZ2U
I'm part of the Tiffamily!	I Knew You Were The One - Tiffany Alvord (Lyric Video) (Original)	_wKb81n-5xs
Teddy bears are my friends	Ariana Grande - Problem ft. Iggy Azalea - (Official Music Cover) by Tiffany Alvord & Alex G	4kTUwAreg7c
You have all of me!	All of Me - John Legend (Official Music Cover) by Tiffany Alvord	7hUPQ19aYuE
oreo headbands	MY EVERY DAY MAKE-UP TUTORIAL | Tiffany | Vlog	sblNI4dxcNw
selfieeeee-no	I Will Never Let You Down - Rita Ora (Cover by Tiffany Alvord & Dave Days)	fWXB__1iCBs
I'll make you mine!	HAIM - If I Could Change Your Mind (Cover by TIffany, Megan, & Alex)	Qkki9zX3DLI
I'm ready	Six Years On YouTube!?! + ALBUM Update!! ;) | Vlog	rWHJQgYAZ4U
AAO AO	Pompeii - Bastille (Tiffany Alvord Cover) (Live Acoustic)	reZxd4yUeBw
You don't know what you got til it's gone.	Big Yellow Taxi (Paved Paradise) - Tiffany Alvord Cover - Joni Mitchell/Counting Crows	mCG1wSp1cNA
I see the light	Mug Shot - Tiffany Alvord (ft. MAX & Danny) (Official Video) (Original)	mFuz7Fu9nls
walla walla waffle	10 REASONS I HATE VALENTINES DAY +TIPS | Tiffany | Vlog	m8R8Df4TOEQ
Team Tiffany.	Lorde - Team (Tiffany Alvord Cover) Official Music Video	j3s-wOX3fjQ
I'm part of the Tiffamily!	MEET MY BROTHERS | Tiffany | Vlog	C4zcFr9tBi8
It'll all be okay.	Say Something - A Great Big World & Christina Aguilera (Official Music Cover) by Tiffany Alvord	ajf77t8vmIs
Don't drop that thun thun thun :p	NEW YEARS RESOLUTIONS | Tiffany | Vlog	uLk0VXg0uT8
Tiffany makes Santa's cookies	THE CHRISTMAS TAG | Tiffany | Vlog	Fy8eUNtZ1z0
Love a puppy	Love Me Like You Do - Ellie Goulding (from \"Fifty Shades Of Grey\") Tiffany Alvord & Chester See	38MmkTUfSPs
Taffy	Kelly Clarkson - Heartbeat Song (Acoustic Cover) by Tiffany Alvord & Tanner Patrick	ui7mW9vsxck
cheerios	Style - Taylor Swift (Tiffany Alvord Cover) (ft. Dave Days)	yCpTzP9MZMI
Moo	Lips Are Movin - Meghan Trainor (Cover) by Tiffany Alvord on iTunes & Spotify	XBAceiWxVn0
WAFFLE	Taylor Swift - Blank Space (Acoustic Cover by Tiffany Alvord)	ZXsdlk0_HuQ
i love being me	Authenticity - Tiffany Alvord (Official Video) (Original)	8G8ZEWd8-yI
TOGETHER	Tiffany Alvord & Alex G - Deck The Halls (Cover) ❤ #TOMSforTarget TOGETHER SWEATER	8L8vFgsnwhU
candycorn!	Out Of The Woods - Taylor Swift (Cover) by Tiffany Alvord on iTunes & Spotify ♥	Ui_m8tN3dFQ
cuddles	BEING AUTHENTIC + Denim & Supply Ralph Lauren Mission 3!! | Vlog	0r1k_hA2J8o
PANDA!!!	My Brother Does My Make-Up | Tiffany ❤ | Vlog	u0TPSAM3xO8
beautiful butterfly	All About That Bass - Meghan Trainor \"Beauty Version\" (Acoustic Cover) by Tiffany Alvord Ft. Tevin	iswl1lsYjIo
I LOVE YOU	Peace - O.A.R. (Tiffany Alvord Cover) (Live Acoustic)	0WV6p9vLFBU
watermelon	5 FAV SUMMER COLLABS + Perfect Fall Outfit + Chance to fly to LA ❤ | Vlog	w18SY3DWv88
I'm awesome	Wanna be in Avicii's NEW VIDEO!? + Wake Me Up (Cover) | Vlog	9g05ejpUbrU
#BuyLegacyOniTunes	Magic - Tiffany Alvord (Official Video) (Original)	pNdHEuL7Q78
Cookie monster ate my cookies	EXCLUSIVE ALBUM SNEAK PEEK + Live Show + Bloopers ❤ | Vlog	IbdQ0CkB_1c
it's fine by me, if we never leave	Back Home - Andy Grammer & Tiffany Alvord (Acoustic Version)	TbLT1ORzZ4I
Jiffany all the way	WE'RE DATING THE SAME GUY?!? w Miranda Sings & Joey Graceffa | Vlog	kKl5OC8hpNs
Your dad said YES!!! Congrats	Rude - MAGIC! \"Girl Version\" (Acoustic Cover) by Tiffany Alvord on iTunes & Spotify	55e9DT8fCo0
I'll always be your friend	Umbrella - Rihanna (Tiffany Alvord & Emily Cover) (Live Acoustic) #Throwback	iELh6xpvwO4
hotter than hot sauce!!	5 Seconds Of Summer - Don't Stop (Cover) by Tiffany Alvord	IOwO6IiAodo
we got this MAGIC	Magic - Tiffany Alvord (Lyric Video) (Original)	Gwv1Okm4vBw
yes, you're wrong	Nico & Vinz - Am I Wrong (Official Music Cover) by Tiffany Alvord	rjNaV2WKH2s
Sm:)e	I Knew You Were The One - Tiffany Alvord (Official Video) (Original)	pb5AtWwBDWo
too late	Sorry - Justin Bieber (Tiffany Alvord Cover) (ft. Danny Padilla)	pKHA5OOBQ2U
unicorn	WHAT'S ON MY PHONE!?! | Tiffany | Vlog	4AO429aEsa4
Voldemort	DIY HALLOWEEN COSTUMES Super Easy Cheap Last Minute Ideas! | Tiffany | Vlog	Eb9ILg70xWw
brick by brick	Selena Gomez - Same Old Love (Cover) by Tiffany Alvord on Spotify!	EuSV0fpzurg
rubik's cube	Fall Together - Tiffany Alvord (Lyric Video) (Original)	GoEn1YfYTBM
Zayn	Drag Me Down - One Direction (Acoustic Cover) by Tiffany Alvord on Spotify	vWvPe9h8Dxo
did you see the mouse	THAILAND 2015 | Backstage Fun & (Burpees w/ Beth haha) | Tiffany | Vlog	TBCliLErd2A
Batman	How Deep Is Your Love - Calvin Harris & Disciples (Acoustic Cover) by Tiffany Alvord	fulBG5ifBAk
ghost	Over For Good - Tiffany Alvord (Official Video) (Original)	l38MAcuDblk
fire	Wildest Dreams - Taylor Swift (Acoustic Cover) Tiffany Alvord & Tyler Ward	7-T41j7aiE0
ship	The HUGE ANNOUNCEMENT! | Tiffany | Vlog	u9aJu66mvoQ
RIP	Locked Away - R.City ft. Adam Levine (Acoustic Cover) by Tiffany Alvord	N0kVerZAF1s
rain	Over For Good - Tiffany Alvord (Lyric Video) (Original)	2MVpq6H5F5E
Voldemort	The Weeknd - Can’t Feel My Face (Official Acoustic Cover) by TIffany Alvord on iTunes & Spotify	NY7St3VgD74
snowflake	Selena Gomez - Good For You (Piano Cover) by Tiffany Alvord on iTunes & Spotify	X0OyhoeB_Zo
KISS HER	OMI - Cheerleader - Tiffany Alvord, Megan Nicole, & James Maslow (Cover) - Felix Jaehn Remix	XYN6A7EfkqY
Rainbow bread	Maker Bootcamp 2015 | SINGAPORE | Vlog	ymIKYqFKXyU
snowball	Hate To Tell You - Tiffany Alvord (Official Video) (Original)	3gxvMi6yekg
you were wrong	Hate To Tell You - Tiffany Alvord (Lyric Video) (Original)	24CKbXTUuQQ
purple turtle	See You Again - Wiz Khalifa & Charlie Puth (Acoustic Cover) by Tiffany Alvord	wHzXn5quq8k
Giant Bear	Left Swipe Dat (Cover) - Tiffany Alvord ft. Mimi Knowles	4c8PU4s5IHs
falling bird	Taylor Swift - Bad Blood (Acoustic Cover) by Tiffany Alvord	rCx2JLZ119s
RED	\"THANKS A BILLION\" Giving $10,000 to my school (Original Song)	fsrh9YlLNY0
baby turtle	Night Changes - One Direction (Tiffany Alvord Cover) (Live Acoustic)	4Dfk8Hs4H4E
Taffy	LIP READING CHALLENGE | Tiffany Alvord & Tanner Patrick | Vlog	rQ6DL33kc0w
boop	Maroon 5 - Sugar (Acoustic Cover) by Tiffany & Tevin Alvord	BSA3OwP6XJo
its boo	iT's YoU - ZAYN (Tiffany Alvord Cover)	mdpJwE-N_44
Adele said hello!!!	Send My Love (To Your New Lover) - Adele (Tiffany Alvord Acoustic Cover)	QdFU_pFs6sY
doggy!!	7 Years - Lukas Graham (Tiffany Alvord Piano Cover)	0YpKFlwbOLI
Did you see the genie?	Aftereffect - Tiffany Alvord (Official Video) (Original)	LEnP8j5CQ2I
gold	Aftereffect - Tiffany Alvord (Lyric Video) (Original)	7KfDAbROm9s
YES	No - Meghan Trainor (Tiffany Alvord Acoustic Cover)	RNiZZ-CnP04
til infinity!!	Me singing \"Bubbly\" by Colbie Caillat (RE-UPLOAD)	hRPjwGJOPjw
TIFFANATIC	Me singing \"Bubbly\" (LIVE) BEFORE & AFTER - 8 YEARS!!!	VCvjWpy3je4
Girls just wanna have fun	I DO MY BOYFRIEND'S MAKEUP | Tiffany ft. Tyler Ward | Vlog	BonNYbQyC4c
FOX!!	We Don't Talk Anymore - Charlie Puth (ft. Selena Gomez) (Tiffany Alvord & Future Sunsets Cover)	ZgZbY_md_u8
word	New Romantics - Taylor Swift (Tiffany Alvord Acoustic Cover)	7bHz-DxL6P4
ily	The Other Half Of Me - Tiffany Alvord (Lyric Video) (Original)	JC9PVxs5ba8
Poodle!	Love Yourself - Justin Bieber (Cam Taylor Remix) (Tiffany Alvord Cover)	YgNzE4DUY-Q
Be Mine	The Other Half Of Me - Tiffany Alvord (Official Video) (Original)	WfRfSTfSPjU
Bubblegum	DON'T POP IT CHALLENGE | ft. Danny Padilla | Vlog	wykD6-1xvSI
I can let them fly!!	Our Balloons - Not Profane & Tiffany Alvord (Official Video) (Original)	5Vu2ZGwg6M4
twinkle	Love Yourself - Justin Bieber (Tiffany Alvord Piano Cover)	arsOCmVH75E
baby	A Little Love - Tiffany Alvord (Official Video) (Original)	4kP2oD5eq4E
CAT	NEW YEARS RESOLUTIONS + TIPS to ACHIEVE them!  | Tiffany | Vlog	4JQIgFlnsWE
classic	A Little Love - Tiffany Alvord Original (Lyric Video) (Original)	64vff5uDEyI
KISS	Something In The Way You Move - Ellie Goulding (Tiffany Alvord Cover)	uhiUk9Hs11Y
SANTAS COMING	THE CHRISTMAS TAG 2015 | Tiffany | Vlog	SZABSehJcvY
Share if you care!	HELP GIVE 100k TO CHARITY!!! - Best Fiends Race | Tiffany | Vlog	zVhf_uuoLXA
ninja	Silent Night - SURPRISE CAROLING! w/ Shay Carl, Peter Hollens & MORE! #ASaviorIsBorn	REQ_MRxGcBs
Christmas	O Holy Night | Tiffany Alvord - #ASaviorIsBorn ft. Rob Landes & Sara Arkell | The Piano Gal	yShJSMDOaRk
goodbye	Hello - Adele (Tiffany Alvord Cover)	_-Ze6Td01h4
HALO	Nickelodeon HALO awards 2015! | Vlog	I-FCFKD0pJY
Rainbow	Fall Together - Tiffany Alvord (Official Video) (Original)	fd4aWJdIH2Y
